date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:47	1441/1441	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:27%20GMT	https://www.ratinhomilionario.com/robots.txt		(from )
09:08:47	35355/35355	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202023%2014:24:20%20GMT	https://www.ratinhomilionario.com/rt1/	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/index.html	(from )
09:08:47	21447/21447	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:28%20GMT	https://img.imageboss.me/atm/cdn/u/jZBMpCBanOb4g3SWQQna9kAJOaT2/l/NNKguP0826411.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/u/jZBMpCBanOb4g3SWQQna9kAJOaT2/l/NNKguP0826411.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:47	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.ratinhomilionario.com/rt1/)
09:08:48	138164/138164	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:28%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/sHzxkP6540709.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/sHzxkP6540709.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:48	470/470	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:29%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/xRaseH6382614.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/xRaseH6382614.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:48	35723/35723	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2026%20Oct%202023%2012:09:29%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/YgWbXr5287481.jpeg	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/YgWbXr5287481.jpg	(from https://www.ratinhomilionario.com/rt1/)
09:08:49	249681/249681	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:29%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/IfAQey5324133.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/IfAQey5324133.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:49	196031/196031	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:30%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/LDtWkE4994763.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/LDtWkE4994763.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:50	265456/265456	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:30%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/mPiaYQ5064545.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/mPiaYQ5064545.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:50	116868/116868	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2026%20Oct%202023%2012:09:31%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/YELdeX4279332.jpeg	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/YELdeX4279332.jpg	(from https://www.ratinhomilionario.com/rt1/)
09:08:51	92385/92385	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2026%20Oct%202023%2012:09:31%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/oSNWIo4287552.jpeg	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/oSNWIo4287552.jpg	(from https://www.ratinhomilionario.com/rt1/)
